id,page,category,jp,kana,pos,km,example_jp,example_km
w1,2,vocab,人々,ひとびと,ន.,ប្រជាជន / មនុស្សម្នា,世界中の人々が集まる。,មនុស្សគ្រប់គ្នានៅលើពិភពលោកជួបជុំគ្នា។
w2,2,vocab,生活,せいかつ,ន.,ជីវភាពរស់នៅ / ការរស់នៅ,日本での生活に慣れる。,ធ្វើឲ្យស៊ាំនឹងជីវភាពនៅជប៉ុន។
w3,2,vocab,仕事,しごと,ន.,ការងារ,仕事を探している。,កំពុងស្វែងរកការងារ។
w4,2,vocab,支える,ささえる,កិ.,គាំទ្រ / ជ្រោមជ្រែង,家族を支える。,គាំទ្រគ្រួសារ។
w5,2,vocab,役割,やくわり,ន.,តួនាទី,大切な役割を果たす。,បំពេញតួនាទីសំខាន់។
w6,2,vocab,今,いま,ន.,ឥឡូវនេះ,今、忙しいです。,ឥឡូវនេះខ្ញុំកំពុងរវល់។
w7,2,vocab,日本,にほん,ន.,ប្រទេសជប៉ុន,日本で働きたい。,ចង់ធ្វើការនៅប្រទេសជប៉ុន។
w8,2,vocab,運転者,うんてんしゃ,ន.,អ្នកបើកបរ,運転者は注意深い。,អ្នកបើកបរប្រុងប្រយ័ត្ន។
w9,2,vocab,勉強,べんきょう,ន.,ការសិក្សា / ការរៀនសូត្រ,毎日日本語を勉強する。,សិក្សាភាសាជប៉ុនរាល់ថ្ងៃ។
w10,2,vocab,始める,はじめる,កិ.,ចាប់ផ្តើម,新しい仕事を始める。,ចាប់ផ្តើមការងារថ្មី។
w11,2,vocab,思う,おもう,កិ.,គិត / យល់ឃើញ,将来のことを思う。,គិតអំពីអនាគត។
w12,2,vocab,活躍,かつやく,ន.,ការបំពេញការងារយ៉ាងសកម្ម,世界で活躍する。,បំពេញការងារយ៉ាងសកម្មនៅលើពិភពលោក។
w13,2,vocab,身近,みぢか,គុណ.,ដែលនៅជិតខ្លួន / ដែលទាក់ទងនឹងជីវិតប្រចាំថ្ងៃ,身近な問題を考える。,គិតអំពីបញ្ហាដែលនៅជិតខ្លួន។
w14,2,vocab,食料品,しょくりょうひん,ន.,គ្រឿងឧបភោគបរិភោគ / អាហារ,食料品を買いに行く。,ទៅទិញអាហារ។
w15,2,vocab,衣料,いりょう,ន.,សម្លៀកបំពាក់,衣料を輸入する。,នាំចូលសម្លៀកបំពាក់។
w16,2,vocab,雑貨,ざっか,ន.,ទំនិញទូទៅ / របស់ប្រើប្រាស់ប្រចាំថ្ងៃផ្សេងៗ,雑貨を売る店。,ហាងលក់ទំនិញទូទៅ។
w17,2,vocab,工業製品,こうぎょうせいひん,ន.,ផលិតផលឧស្សាហកម្ម,工業製品を輸出する。,នាំចេញផលិតផលឧស្សាហកម្ម។
w18,2,vocab,部品,ぶひん,ន.,គ្រឿងបន្លាស់ / គ្រឿងបង្គុំ,車の部品を作る。,ផលិតគ្រឿងបន្លាស់រថយន្ត។
w19,2,vocab,建設資材,けんせつしざい,ន.,សម្ភារៈសំណង់,建設資材を運ぶ。,ដឹកជញ្ជូនសម្ភារៈសំណង់។
w20,2,vocab,石油,せきゆ,ន.,ប្រេងកាត / ប្រេងឥន្ធនៈ,石油を輸入する国。,ប្រទេសនាំចូលប្រេងកាត។
w21,2,vocab,液体,えきたい,ន.,វត្ថុរាវ,液体を容器に入れる。,ដាក់វត្ថុរាវទៅក្នុងធុង។
w22,2,vocab,気体,きたい,ន.,ឧស្ម័ន / ហ្គាស,気体は目に見えない。,ឧស្ម័នមើលមិនឃើញ។
w23,2,vocab,運ぶ,はこぶ,កិ.,ដឹកជញ្ជូន / ជញ្ជូន,荷物を運ぶ。,ដឹកជញ្ជូនអីវ៉ាន់។
w24,2,vocab,巨大,きょだい,គុណ.,ដែលធំសម្បើម / ធំធេង,巨大な建物。,អាគារដ៏ធំសម្បើម។
w25,2,vocab,橋,はし,ន.,ស្ពាន,大きな橋を渡る。,ឆ្លងកាត់ស្ពានធំមួយ។
w26,2,vocab,設備,せつび,ន.,បរិក្ខារ / ប្រព័ន្ធម៉ាស៊ីន,新しい設備を導入する。,ដាក់ឲ្យប្រើប្រាស់បរិក្ខារថ្មី។
w27,2,vocab,特殊,とくしゅ,គុណ.,ដែលពិសេសខុសពីធម្មតា,特殊な技術が必要だ。,ត្រូវការបច្ចេកទេសពិសេស។
w28,2,vocab,物,もの,ន.,របស់របរ / វត្ថុ,これは大切な物です。,នេះជារបស់សំខាន់។
w29,2,vocab,宅配便,たくはいびん,ន.,សេវាកម្មដឹកជញ្ជូនទំនិញដល់ផ្ទះ,宅配便で送る。,ផ្ញើតាមសេវាដឹកជញ្ជូនដល់ផ្ទះ។
